Temperature,Intensity
0,93
2,164
4,123
6,114
8,148
10,110
12,144
14,117
16,172
18,109
20,83
22,140
24,96
26,141
28,86
30,103
32,112
34,127
36,102
38,110
40,136
42,144
44,115
46,101
48,148
50,95
52,107
54,85
56,100
58,109
60,92
62,182
64,96
66,183
68,132
70,101
72,122
74,141
76,106
78,115
80,192
82,174
84,122
86,149
88,137
90,135
92,159
94,105
96,162
98,121
100,94
102,110
104,84
106,71
108,100
110,164
112,118
114,111
116,106
118,141
120,86
122,159
124,120
126,104
128,130
130,158
132,163
134,179
136,159
138,115
140,181
142,133
144,172
146,149
148,218
150,156
152,183
154,201
156,234
158,179
160,213
162,252
164,319
166,263
168,249
170,353
172,346
174,448
176,405
178,420
180,424
182,428
184,469
186,459
188,459
190,522
192,547
194,479
196,551
198,527
200,599
202,602
204,540
206,542
208,540
210,525
212,635
214,583
216,541
218,571
220,563
222,501
224,530
226,440
228,480
230,496
232,407
234,384
236,341
238,268
240,289
242,235
244,165
246,183
248,164
250,178
252,115
254,186
256,131
258,145
260,150
262,185
264,123
266,173
268,138
270,114
272,114
274,90
276,175
278,106
280,134
282,85
284,102
286,168
288,155
290,89
292,94
294,115
296,98
298,113
300,139
302,129
304,98
306,103
308,101
310,120
312,68
314,175
316,94
318,100
320,89
322,129
324,103
326,115
328,111
330,102
332,112
334,128
336,118
338,103
340,128
342,71
344,103
346,129
348,130
350,116
352,141
354,147
356,100
358,109
360,175
362,110
364,158
366,155
368,95
370,82
372,91
374,123
376,148
378,139
380,119
382,147
384,154
386,141
388,101
390,119
392,154
394,98
396,149
398,159
400,145
402,135
404,138
406,102
408,112
410,95
412,191
414,130
416,163
418,167
420,120
422,164
424,126
426,103
428,116
430,103
432,145
434,127
436,197
438,92
440,164
442,145
444,116
446,89
448,131
450,106
452,119
454,160
456,146
458,196
460,154
462,118
464,128
466,144
468,168
470,142
472,144
474,154
476,183
478,155
480,158
482,140
484,160
486,102
488,153
490,139
492,119
494,129
496,173
498,106
