Temperature,Intensity
0,18303
2,18087
4,17910
6,17732
8,17211
10,17171
12,17505
14,16990
16,16703
18,16715
20,16578
22,16891
24,17646
26,19498
28,21862
30,24469
32,27594
34,32137
36,36959
38,42962
40,49930
42,57701
44,66203
46,74074
48,82711
50,89939
52,94807
54,96619
56,95281
58,88810
60,76750
62,61974
64,45149
66,30681
68,17843
70,9537
72,4390
74,2160
76,1111
78,789
80,573
82,606
84,537
86,595
88,631
90,740
92,840
94,928
96,1241
98,1249
100,1657
102,2011
104,2435
106,3080
108,3766
110,4718
112,6004
114,7648
116,9266
118,11661
120,14854
122,18403
124,22862
126,28187
128,35418
130,44640
132,54694
134,67494
136,83774
138,102724
140,126802
142,155354
144,189672
146,231523
148,281056
150,337490
152,409543
154,491629
156,587457
158,700641
160,829475
162,978534
164,1.14E+06
166,1.33E+06
168,1.53E+06
170,1.76E+06
172,2.00E+06
174,2.25E+06
176,2.52E+06
178,2.78E+06
180,3.04E+06
182,3.31E+06
184,3.57E+06
186,3.80E+06
188,4.01E+06
190,4.18E+06
192,4.33E+06
194,4.45E+06
196,4.52E+06
198,4.57E+06
200,4.55E+06
202,4.50E+06
204,4.41E+06
206,4.28E+06
208,4.12E+06
210,3.94E+06
212,3.71E+06
214,3.47E+06
216,3.21E+06
218,2.93E+06
220,2.67E+06
222,2.39E+06
224,2.13E+06
226,1.88E+06
228,1.63E+06
230,1.41E+06
232,1.21E+06
234,1.02E+06
236,858305
238,715982
240,590494
242,481354
244,388947
246,312107
248,246937
250,194251
252,149318
254,112557
256,84371
258,61213
260,43571
262,30897
264,21468
266,14798
268,10141
270,7110
272,5098
274,4137
276,3627
278,3495
280,3544
282,3646
284,3953
286,4139
288,4252
290,4566
292,4916
294,5148
296,5465
298,5957
300,6067
302,6497
304,6759
306,7155
308,7532
310,7743
312,8328
314,8516
316,8617
318,8950
320,9356
322,9356
324,9219
326,9316
328,9455
330,9217
332,8868
334,8807
336,8106
338,7775
340,7097
342,6463
344,5683
346,4805
348,4300
350,3484
352,2914
354,2142
356,1638
358,1211
360,922
362,628
364,437
366,349
368,230
370,219
372,161
374,170
376,211
378,194
380,182
382,205
384,130
386,231
388,156
390,181
392,139
394,186
396,223
398,243
400,204
402,128
404,245
406,187
408,195
410,177
412,217
414,180
416,152
418,156
420,204
422,194
424,180
426,197
428,194
430,186
432,327
434,196
436,264
438,224
440,295
442,251
444,269
446,185
448,323
450,263
452,235
454,266
456,227
458,217
460,214
462,232
464,271
466,227
468,165
470,248
472,219
474,224
476,243
478,258
480,280
482,228
484,217
486,200
488,240
490,296
492,274
494,244
496,275
498,283
