Temperature,Intensity
0,18210
2,17923
4,17787
6,17618
8,17063
10,17061
12,17361
14,16873
16,16531
18,16606
20,16495
22,16751
24,17550
26,19357
28,21776
30,24366
32,27482
34,32010
36,36857
38,42852
40,49794
42,57557
44,66088
46,73973
48,82563
50,89844
52,94700
54,96534
56,95181
58,88701
60,76658
62,61792
64,45053
66,30498
68,17711
70,9436
72,4268
74,2019
76,1005
78,674
80,381
82,432
84,415
86,446
88,494
90,605
92,681
94,823
96,1079
98,1128
100,1563
102,1901
104,2351
106,3009
108,3666
110,4554
112,5886
114,7537
116,9160
118,11520
120,14768
122,18244
124,22742
126,28083
128,35288
130,44482
132,54531
134,67315
136,83615
138,102609
140,126621
142,155221
144,189500
146,231374
148,280838
150,337334
152,409360
154,491428
156,587223
158,700462
160,829262
162,978282
164,1141881
166,1325277
168,1533391
170,1757107
172,1997974
174,2254272
176,2517675
178,2783040
180,3044146
182,3314352
184,3565051
186,3800441
188,4004721
190,4183308
192,4331603
194,4446391
196,4522749
198,4565793
200,4550291
202,4499808
204,4405950
206,4279418
208,4119870
210,3936215
212,3711365
214,3468087
216,3208239
218,2933829
220,2667567
222,2389659
224,2124960
226,1874970
228,1631690
230,1414004
232,1205813
234,1024146
236,857964
238,715714
240,590205
242,481119
244,388782
246,311924
248,246773
250,194073
252,149203
254,112371
256,84240
258,61068
260,43421
262,30712
264,21345
266,14625
268,10003
270,6996
272,4984
274,4047
276,3452
278,3389
280,3410
282,3561
284,3851
286,3971
288,4097
290,4477
292,4822
294,5033
296,5367
298,5844
300,5928
302,6368
304,6661
306,7052
308,7431
310,7623
312,8260
314,8341
316,8523
318,8850
320,9267
322,9227
324,9116
326,9201
328,9344
330,9115
332,8756
334,8679
336,7988
338,7672
340,6969
342,6392
344,5580
346,4676
348,4170
350,3368
352,2773
354,1995
356,1538
358,1102
360,747
362,518
364,279
366,194
368,135
370,137
372,70
374,47
376,63
378,55
380,63
382,58
384,-24
386,90
388,55
390,62
392,-15
394,88
396,74
398,84
400,59
402,-7
404,107
406,85
408,83
410,82
412,26
414,50
416,-11
418,-11
420,84
422,30
424,54
426,94
428,78
430,83
432,182
434,69
436,67
438,132
440,131
442,106
444,153
446,96
448,192
450,157
452,116
454,106
456,81
458,21
460,60
462,114
464,143
466,83
468,-3
470,106
472,75
474,70
476,60
478,103
480,122
482,88
484,57
486,98
488,87
490,157
492,155
494,115
496,102
498,177
