Temperature,Intensity
0,5050
2,4949
4,5058
6,5059
8,4939
10,5070
12,5181
14,5013
16,5015
18,5162
20,5110
22,5179
24,4993
26,5098
28,5317
30,5659
32,6124
34,6316
36,6725
38,7175
40,7897
42,8504
44,9407
46,10359
48,11170
50,12636
52,13870
54,15891
56,17842
58,20002
60,22239
62,25161
64,28160
66,31313
68,34861
70,38994
72,42372
74,45916
76,49738
78,53254
80,55584
82,57174
84,57549
86,56017
88,54096
90,49122
92,43310
94,36698
96,29748
98,22216
100,15562
102,10360
104,6476
106,3667
108,2152
110,1244
112,761
114,566
116,472
118,458
120,428
122,529
124,479
126,614
128,679
130,732
132,827
134,942
136,1085
138,1387
140,1594
142,1962
144,2416
146,2892
148,3595
150,4440
152,5382
154,6416
156,7907
158,9600
160,11769
162,14797
164,17820
166,21870
168,27133
170,32630
172,39357
174,48312
176,58160
178,70408
180,85779
182,102221
184,123757
186,147996
188,175553
190,210187
192,248507
194,292096
196,343260
198,400378
200,466613
202,539756
204,618980
206,708531
208,805674
210,911806
212,1.02E+06
214,1.15E+06
216,1.27E+06
218,1.40E+06
220,1.53E+06
222,1.67E+06
224,1.81E+06
226,1.93E+06
228,2.07E+06
230,2.20E+06
232,2.33E+06
234,2.44E+06
236,2.55E+06
238,2.64E+06
240,2.73E+06
242,2.79E+06
244,2.85E+06
246,2.89E+06
248,2.91E+06
250,2.91E+06
252,2.90E+06
254,2.87E+06
256,2.82E+06
258,2.76E+06
260,2.67E+06
262,2.57E+06
264,2.46E+06
266,2.34E+06
268,2.20E+06
270,2.06E+06
272,1.90E+06
274,1.75E+06
276,1.60E+06
278,1.45E+06
280,1.30E+06
282,1.15E+06
284,1.01E+06
286,885183
288,768516
290,655887
292,557849
294,467795
296,388244
298,319892
300,261469
302,208095
304,165965
306,129491
308,98459
310,74119
312,55494
314,40994
316,29185
318,20819
320,14651
322,11176
324,8529
326,6816
328,6101
330,5608
332,5933
334,6051
336,6457
338,6641
340,7457
342,7759
344,8337
346,8885
348,9260
350,9885
352,10412
354,11213
356,12024
358,12150
360,12856
362,13084
364,13955
366,14260
368,14360
370,15383
372,15232
374,15421
376,15478
378,14936
380,14609
382,14430
384,13740
386,13448
388,12150
390,11106
392,10374
394,9122
396,7965
398,7063
400,5734
402,4700
404,3564
406,2850
408,2153
410,1538
412,1038
414,739
416,582
418,320
420,246
422,173
424,184
426,141
428,156
430,148
432,134
434,148
436,136
438,170
440,124
442,152
444,108
446,152
448,145
450,147
452,172
454,147
456,203
458,176
460,198
462,146
464,172
466,174
468,208
470,220
472,216
474,222
476,207
478,246
480,237
482,322
484,317
486,307
488,268
490,293
492,304
494,309
496,424
498,304
